abbreviation,location,location_name,population
US,US,US,332875137.0
AL,01,Alabama,4903185.0
AK,02,Alaska,731545.0
AZ,04,Arizona,7278717.0
AR,05,Arkansas,3017804.0
CA,06,California,39512223.0
CO,08,Colorado,5758736.0
CT,09,Connecticut,3565287.0
DE,10,Delaware,973764.0
DC,11,District of Columbia,705749.0
FL,12,Florida,21477737.0
GA,13,Georgia,10617423.0
HI,15,Hawaii,1415872.0
ID,16,Idaho,1787065.0
IL,17,Illinois,12671821.0
IN,18,Indiana,6732219.0
IA,19,Iowa,3155070.0
KS,20,Kansas,2913314.0
KY,21,Kentucky,4467673.0
LA,22,Louisiana,4648794.0
ME,23,Maine,1344212.0
MD,24,Maryland,6045680.0
MA,25,Massachusetts,6892503.0
MI,26,Michigan,9986857.0
MN,27,Minnesota,5639632.0
MS,28,Mississippi,2976149.0
MO,29,Missouri,6626371.0
MT,30,Montana,1068778.0
NE,31,Nebraska,1934408.0
NV,32,Nevada,3080156.0
NH,33,New Hampshire,1359711.0
NJ,34,New Jersey,8882190.0
NM,35,New Mexico,2096829.0
NY,36,New York,19453561.0
NC,37,North Carolina,10488084.0
ND,38,North Dakota,762062.0
OH,39,Ohio,11689100.0
OK,40,Oklahoma,3956971.0
OR,41,Oregon,4217737.0
PA,42,Pennsylvania,12801989.0
RI,44,Rhode Island,1059361.0
SC,45,South Carolina,5148714.0
SD,46,South Dakota,884659.0
TN,47,Tennessee,6829174.0
TX,48,Texas,28995881.0
UT,49,Utah,3205958.0
VT,50,Vermont,623989.0
VA,51,Virginia,8535519.0
WA,53,Washington,7614893.0
WV,54,West Virginia,1792147.0
WI,55,Wisconsin,5822434.0
WY,56,Wyoming,578759.0
PR,72,Puerto Rico,3754939.0
VI,78,Virgin Islands,107268.0
